confidence_score,setup_type_swing,setup_type_scalp,has_3_bar_pattern,has_pop_fade,has_dip_and_rip,has_mean_reversal,volume_spike,atr_ratio,trend_up,trend_down,rr_ratio,rsi,stoch,bb_distance,win
6,0,1,0,0,0,0,1,1.0,1,0,2.0,63.785313487416914,84.90047426092885,0.9342316183975135,0
7,0,1,0,0,0,0,1,1.0,0,1,1.0742613104098089,34.49917211966897,17.840763660492026,-0.06709794822526065,1
7,0,1,0,0,0,0,1,1.0,0,1,1.0425451333542395,29.69163783806765,12.549573617425002,0.09445981500279221,1
7,0,1,0,0,0,0,1,1.0,0,1,2.0,33.61094106537608,18.25560791035226,-0.08961125079129129,1
7,0,1,0,0,0,0,1,1.0,0,1,2.0,33.61094106537608,18.25560791035226,-0.08961125079129129,1
4,0,1,0,0,0,0,1,1.0,0,1,2.0,33.61094106537608,18.25560791035226,-0.08961125079129129,1
5,0,1,0,0,0,0,1,1.0,0,1,1.0339020939303272,33.61094106537608,18.25560791035226,-0.08961125079129129,1
7,0,1,0,0,0,0,0,1.0,0,1,2.0,30.54022248492626,12.566394794305097,-0.10752409212980313,1
6,0,1,0,0,0,0,0,1.0,0,1,1.0731261898143944,29.818778565112794,22.471710326566722,0.11584837653650652,1
5,0,1,0,0,0,0,0,1.0,0,1,1.0010608506164693,29.818778565112794,22.471710326566722,0.11584837653650652,1
6,0,1,0,0,0,0,0,1.0,0,1,1.017141280162111,29.818778565112794,22.471710326566722,0.11584837653650652,1
6,0,1,0,0,0,0,0,1.0,0,1,1.0403736925368055,29.818778565112794,22.471710326566722,0.11584837653650652,1
7,0,1,0,0,0,0,0,1.0,0,1,2.0,27.653634869904025,16.567129048889967,0.10292953743103908,1
5,0,1,0,0,0,0,0,1.0,0,1,2.0,25.716849589654487,17.12135287119684,0.1256732876617301,1
6,0,1,0,0,0,0,0,1.0,0,1,2.0,30.065346818487697,11.07480900603983,-0.04209905528855516,1
5,0,1,0,0,0,0,0,1.0,0,1,2.0,30.065346818487697,11.07480900603983,-0.04209905528855516,1
6,0,1,0,0,0,0,0,1.0,0,1,2.0,30.065346818487697,11.07480900603983,-0.04209905528855516,1
6,0,1,0,0,0,0,0,1.0,0,1,2.0,30.065346818487697,11.07480900603983,-0.04209905528855516,1
4,0,1,0,0,0,0,0,1.0,0,1,0.9596526051251972,36.68384528226141,10.532694358943438,-0.0218668725086925,1
7,0,1,0,0,0,0,0,1.0,0,1,1.0996990046968456,36.68384528226141,10.532694358943438,-0.0218668725086925,1
8,0,1,0,0,0,0,0,1.0,0,1,1.1548554690493205,36.68384528226141,10.532694358943438,-0.0218668725086925,1
6,0,1,0,0,0,0,0,1.0,0,1,1.0460971537263464,36.68384528226141,10.532694358943438,-0.0218668725086925,1
6,0,1,0,0,0,0,0,1.0,0,1,1.101529661928548,36.68384528226141,10.532694358943438,-0.0218668725086925,1
7,0,1,0,0,0,0,0,1.0,0,1,1.0512459390953806,34.75236427959345,25.103476713457674,0.05780780700776915,1
5,0,1,0,0,0,0,1,1.0,0,1,1.0351549695733335,31.657707347389547,16.4765744412928,-0.020265002626154605,1
4,0,1,0,0,0,0,1,1.0,0,1,2.0,31.657707347389547,16.4765744412928,-0.020265002626154605,1
7,0,1,0,0,0,0,1,1.0,0,1,2.0,31.657707347389547,16.4765744412928,-0.020265002626154605,1
8,0,1,0,0,0,0,1,1.0,0,1,2.0,31.657707347389547,16.4765744412928,-0.020265002626154605,1
6,0,1,0,0,0,0,1,1.0,0,1,2.0,31.657707347389547,16.4765744412928,-0.020265002626154605,1
6,0,1,0,0,0,0,1,1.0,0,1,2.0,36.42996520684377,36.482458262314154,0.20888265260665964,1
7,0,1,0,0,0,0,0,1.0,0,1,2.0,33.114932933526845,11.815275953647685,0.07442358786512077,1
5,0,1,0,0,0,0,1,1.0,1,0,2.0,73.67130478287376,83.99439566119509,0.9908331283329228,0
6,0,1,0,0,0,0,0,1.0,0,1,1.009198714790799,35.57453895904963,17.003636883813662,-0.02673498141904092,1
7,0,1,0,0,0,0,0,1.0,0,1,0.9717802580651682,35.57453895904963,17.003636883813662,-0.02673498141904092,1
7,0,1,0,0,0,0,0,1.0,1,0,2.0,62.14669176911678,86.70529587352412,0.8906121307464768,0
